Timestamp ,X ,Y ,Z
1675285742.1524973 ,[0.03384741] ,[0.44437409] ,[0.08592528]
1675285742.1728358 ,[0.03377164] ,[0.44528378] ,[0.08586963]
1675285742.192144 ,[0.03402779] ,[0.44100017] ,[0.0854506]
1675285742.2142892 ,[0.03423259] ,[0.4375795] ,[0.08506637]
1675285742.2353299 ,[0.03477845] ,[0.43988685] ,[0.08492724]
1675285742.255288 ,[0.03451702] ,[0.44163075] ,[0.08525739]
1675285742.2791772 ,[0.03430828] ,[0.44302486] ,[0.08556022]
1675285742.301259 ,[0.03483832] ,[0.44417359] ,[0.08568613]
1675285742.3213725 ,[0.03526186] ,[0.44509192] ,[0.08580159]
1675285742.3419626 ,[0.03490449] ,[0.44582457] ,[0.08590739]
1675285742.3615992 ,[0.03461902] ,[0.44637765] ,[0.08615532]
1675285742.3827128 ,[0.03439103] ,[0.44681983] ,[0.08638275]
1675285742.402466 ,[0.03452333] ,[0.44222725] ,[0.08608292]
1675285742.420524 ,[0.03500909] ,[0.44363494] ,[0.08571512]
1675285742.4420981 ,[0.0353973] ,[0.44476035] ,[0.0853774]
1675285742.4628391 ,[0.03501415] ,[0.44555942] ,[0.08551552]
1675285742.484244 ,[0.03470802] ,[0.44619829] ,[0.08564231]
1675285742.502566 ,[0.03477695] ,[0.44181101] ,[0.085103]
1675285742.5223153 ,[0.03451876] ,[0.44313645] ,[0.08555959]
1675285742.543624 ,[0.03431252] ,[0.44419626] ,[0.0859789]
1675285742.5644906 ,[0.03446083] ,[0.44015079] ,[0.08571466]
1675285742.5863414 ,[0.03457946] ,[0.43691849] ,[0.08547189]
1675285742.6047015 ,[0.03436161] ,[0.43928918] ,[0.0856007]
1675285742.6257849 ,[0.03456494] ,[0.44613212] ,[0.08562541]
1675285742.6461952 ,[0.03472752] ,[0.45160153] ,[0.08564807]
1675285742.6666002 ,[0.03448053] ,[0.45102986] ,[0.08576217]
1675285742.6865234 ,[0.03428321] ,[0.45060536] ,[0.08572018]
1675285742.7089403 ,[0.03412558] ,[0.45026588] ,[0.08568156]
1675285742.730927 ,[0.03431161] ,[0.44508866] ,[0.08514786]
1675285742.7514236 ,[0.0344604] ,[0.44095074] ,[0.08465736]
1675285742.769754 ,[0.03457941] ,[0.43761041] ,[0.08435406]
1675285742.7896206 ,[0.03473913] ,[0.44477249] ,[0.08447745]
1675285742.8106675 ,[0.03486686] ,[0.45049781] ,[0.08459092]
1675285742.8297238 ,[0.03459324] ,[0.4501475] ,[0.08478758]
1675285742.8515534 ,[0.03437457] ,[0.44986734] ,[0.08496841]
1675285742.8702881 ,[0.03488708] ,[0.44974307] ,[0.08469963]
1675285742.89111 ,[0.03460983] ,[0.44951164] ,[0.08503196]
1675285742.9125352 ,[0.03438826] ,[0.44932656] ,[0.08533752]
1675285742.934593 ,[0.03452194] ,[0.44432274] ,[0.08498347]
1675285742.9572487 ,[0.03462886] ,[0.44032287] ,[0.08465794]
1675285742.9757385 ,[0.03440388] ,[0.44197835] ,[0.0849922]
1675285742.9955864 ,[0.03392008] ,[0.44814947] ,[0.08549173]
1675285743.0165277 ,[0.0335334] ,[0.45308302] ,[0.08595109]
1675285743.035772 ,[0.03421357] ,[0.45234772] ,[0.08546314]
1675285743.0545473 ,[0.03444664] ,[0.45653522] ,[0.08549748]
1675285743.0744505 ,[0.03463304] ,[0.45988251] ,[0.08552904]
1675285743.0932765 ,[0.03509271] ,[0.45775204] ,[0.08521917]
1675285743.1147063 ,[0.03546024] ,[0.45604814] ,[0.08493416]
1675285743.1343331 ,[0.03575407] ,[0.45465251] ,[0.08481502]
1675285743.1554542 ,[0.03567864] ,[0.45840332] ,[0.08475906]
1675285743.1797392 ,[0.03561832] ,[0.46140155] ,[0.08470761]
1675285743.2019832 ,[0.03550596] ,[0.4539658] ,[0.08455212]
1675285743.2242696 ,[0.03541613] ,[0.44802032] ,[0.08440912]
1675285743.2478123 ,[0.03503498] ,[0.44816546] ,[0.08461689]
1675285743.2704306 ,[0.03510354] ,[0.45314354] ,[0.08485855]
1675285743.2949924 ,[0.03515838] ,[0.45712354] ,[0.0850809]
1675285743.3185663 ,[0.03513821] ,[0.45058379] ,[0.08475316]
1675285743.3393712 ,[0.03549577] ,[0.45031461] ,[0.08450753]
1675285743.3654366 ,[0.03578166] ,[0.45009929] ,[0.08428157]
1675285743.3895934 ,[0.03570072] ,[0.45465189] ,[0.08468914]
1675285743.4149115 ,[0.03557202] ,[0.44861179] ,[0.08439346]
1675285743.4375463 ,[0.0354691] ,[0.44378218] ,[0.08412143]
1675285743.4618833 ,[0.03538681] ,[0.43992068] ,[0.08387116]
1675285743.4836354 ,[0.03501245] ,[0.44165528] ,[0.08426147]
1675285743.5046175 ,[0.03471313] ,[0.44307465] ,[0.08447954]
1675285743.5265615 ,[0.03447383] ,[0.4442099] ,[0.08468026]
1675285743.5473144 ,[0.03496374] ,[0.44521681] ,[0.08444227]
1675285743.5693357 ,[0.03467444] ,[0.44592325] ,[0.08464572]
1675285743.5913708 ,[0.03444313] ,[0.44648828] ,[0.08483298]
1675285743.611565 ,[0.03425822] ,[0.44694021] ,[0.08500534]
1675285743.6329181 ,[0.0344185] ,[0.44242246] ,[0.08482907]
1675285743.655863 ,[0.0345467] ,[0.43881016] ,[0.08466685]
1675285743.678952 ,[0.03502168] ,[0.44089806] ,[0.08443104]
1675285743.701663 ,[0.03472128] ,[0.44240564] ,[0.08491532]
1675285743.7209969 ,[0.03448109] ,[0.44361149] ,[0.08536109]
1675285743.748737 ,[0.03428906] ,[0.4446396] ,[0.08549116]
1675285743.7790194 ,[0.03481539] ,[0.44549558] ,[0.08547093]
1675285743.8111804 ,[0.0352363] ,[0.44618022] ,[0.0854523]
1675285743.840389 ,[0.03520092] ,[0.44185533] ,[0.08510041]
1675285743.8627608 ,[0.03517264] ,[0.4383971] ,[0.08477648]
1675285743.883492 ,[0.03515003] ,[0.43563204] ,[0.08447832]
1675285743.9048893 ,[0.03482452] ,[0.43819413] ,[0.08495677]
1675285743.92391 ,[0.03456424] ,[0.44027511] ,[0.08525769]
1675285743.9432757 ,[0.03466345] ,[0.4371699] ,[0.08478124]
1675285743.9641027 ,[0.03474282] ,[0.43465419] ,[0.08448344]
1675285743.9875662 ,[0.03480632] ,[0.43264295] ,[0.08420932]
1675285744.0131316 ,[0.03522859] ,[0.43596584] ,[0.08401183]
1675285744.043765 ,[0.03488776] ,[0.43849334] ,[0.0843865]
1675285744.0742846 ,[0.03461522] ,[0.44051503] ,[0.08473147]
1675285744.102962 ,[0.03507559] ,[0.44226247] ,[0.08449322]
1675285744.1389542 ,[0.03476558] ,[0.44352986] ,[0.08482947]
1675285744.1713233 ,[0.03451768] ,[0.44454363] ,[0.08513905]
1675285744.2051253 ,[0.03431945] ,[0.44532293] ,[0.08556288]
1675285744.2337053 ,[0.03416097] ,[0.44600969] ,[0.08567565]
1675285744.2642663 ,[0.03403427] ,[0.44655902] ,[0.08577946]
1675285744.295756 ,[0.033933] ,[0.4469984] ,[0.08587502]
1675285744.3269372 ,[0.03415875] ,[0.44249258] ,[0.08563295]
1675285744.3588064 ,[0.03471017] ,[0.44387702] ,[0.0851863]
1675285744.3916512 ,[0.03478042] ,[0.43999738] ,[0.08499869]
1675285744.4229033 ,[0.03490012] ,[0.44653845] ,[0.08534148]
1675285744.4574234 ,[0.03462585] ,[0.44701415] ,[0.085333]
1675285744.4951258 ,[0.03440653] ,[0.4473626] ,[0.08546336]
1675285744.5316372 ,[0.03393104] ,[0.45239458] ,[0.08590574]
1675285744.5683067 ,[0.03385089] ,[0.4516344] ,[0.08612893]
1675285744.6053786 ,[0.03409319] ,[0.44620621] ,[0.08586757]
1675285744.6333847 ,[0.03398071] ,[0.44665295] ,[0.08623149]
1675285744.6687 ,[0.0338908] ,[0.4470736] ,[0.08629077]
1675285744.7059224 ,[0.03412517] ,[0.44256005] ,[0.08601691]
1675285744.7445602 ,[0.03431266] ,[0.43898303] ,[0.08562549]
1675285744.7781992 ,[0.03446265] ,[0.43612252] ,[0.08526504]
1675285744.8113205 ,[0.03427651] ,[0.43865077] ,[0.08540023]
1675285744.8354812 ,[0.03480391] ,[0.44080406] ,[0.08497442]
1675285744.8600113 ,[0.03454957] ,[0.44242756] ,[0.08499483]
1675285744.8831854 ,[0.03434619] ,[0.44366247] ,[0.08528863]
1675285744.903778 ,[0.03448953] ,[0.43986873] ,[0.08495536]
1675285744.9253964 ,[0.03466757] ,[0.44652181] ,[0.08489148]
1675285744.9461899 ,[0.03474663] ,[0.44215705] ,[0.08458973]
1675285744.9658854 ,[0.034504] ,[0.44344625] ,[0.084915]
1675285744.9859717 ,[0.03430997] ,[0.4444775] ,[0.08521455]
1675285745.0048528 ,[0.03415482] ,[0.44533413] ,[0.08535323]
1675285745.0242667 ,[0.03433654] ,[0.4412093] ,[0.0850156]
1675285745.0438538 ,[0.0344819] ,[0.43791047] ,[0.08470467]
1675285745.063143 ,[0.03459819] ,[0.43527237] ,[0.08441833]
1675285745.082578 ,[0.03469122] ,[0.43316279] ,[0.08415464]
1675285745.101769 ,[0.03446001] ,[0.43625227] ,[0.08451344]
1675285745.1211624 ,[0.03427511] ,[0.43872364] ,[0.0848439]
1675285745.140766 ,[0.03412725] ,[0.44070054] ,[0.08514826]
1675285745.1597664 ,[0.03431457] ,[0.43750709] ,[0.08482756]
1675285745.1815426 ,[0.03446443] ,[0.43495322] ,[0.0845322]
1675285745.2042453 ,[0.03427882] ,[0.43771655] ,[0.08472409]
1675285745.2298572 ,[0.03443585] ,[0.43512191] ,[0.08443709]
1675285745.256322 ,[0.03456147] ,[0.43304703] ,[0.08417277]
1675285745.2781584 ,[0.03435658] ,[0.43622402] ,[0.08425622]
1675285745.304987 ,[0.03419272] ,[0.43876539] ,[0.0843331]
1675285745.331199 ,[0.03406169] ,[0.44076638] ,[0.08454042]
1675285745.3593323 ,[0.03432548] ,[0.44719917] ,[0.08464476]
