Timestamp,el_X,el_Y,el_Z,el_Vel,mocap_X,mocap_Y,mocap_Z,mocap_Yaw
1675192654.1471348,0.9156223395124208,0.7453643161488798,0.8389241973862169,0.01711101601384632,1.2106550931930542,0.7107905149459839,0.996258556842804,0.11884594528441217
1675192654.1671076,0.9159934706398579,0.7481762326916779,0.8395282743889411,0.017092005794700278,1.2125052213668823,0.7148036360740662,0.9980195164680481,0.1276381666718136
1675192654.1879904,0.9131776241072651,0.7576623577196302,0.8396554731297393,0.01676000809855688,1.2125052213668823,0.7148036360740662,0.9980195164680481,0.1276381666718136
1675192654.207325,0.9109232144097865,0.7652471598727193,0.8397726211702408,0.016484235157185844,1.2125052213668823,0.7148036360740662,0.9980195164680481,0.1276381666718136
1675192654.2270436,0.9096849834495844,0.7712264635742941,0.8398897104006111,0.016309172913445344,1.214084267616272,0.7194705009460449,1.001185417175293,0.12357829323427527
1675192654.245469,0.9086926775176409,0.7760057734317832,0.8399975413920672,0.01615883475579515,1.214084267616272,0.7194705009460449,1.001185417175293,0.12357829323427527
1675192654.2643185,0.9103018640369227,0.7764692361380042,0.8408196881932568,0.01626452222520847,1.2151585817337036,0.7236071228981018,1.0071169137954712,0.12089476594738024
1675192654.282305,0.9140355007243315,0.7730127922255536,0.8417572912918585,0.016578546703639216,1.2151585817337036,0.7236071228981018,1.0071169137954712,0.12089476594738024
1675192654.301809,0.9170205431598318,0.7702437459494742,0.8426213200503656,0.016818020667782752,1.2151585817337036,0.7236071228981018,1.0071169137954712,0.12089476594738024
1675192654.320875,0.9144394919192824,0.7788775470800146,0.842815695869211,0.016509974470214565,1.2147964239120483,0.7271661162376404,1.0132588148117065,0.12711089696277833
1675192654.3398333,0.912372939770634,0.7857803765028119,0.8429947551558873,0.01625346480753032,1.2147964239120483,0.7271661162376404,1.0132588148117065,0.12711089696277833
1675192654.358141,0.9112800414033804,0.791454731761819,0.8434936552184685,0.016093426276915006,1.2137356996536255,0.7302089929580688,1.0199164152145386,0.12095977792380053
1675192654.3776693,0.9104040212838206,0.795989967634605,0.8439533685960133,0.01595520993794924,1.2137356996536255,0.7302089929580688,1.0199164152145386,0.12095977792380053
1675192654.396093,0.9102635525696018,0.7998532008269205,0.8448189981573495,0.01588969306217437,1.2137356996536255,0.7302089929580688,1.0199164152145386,0.12095977792380053
1675192654.4153655,0.9144049143336398,0.7954886555301114,0.8458613334064231,0.016244982400161007,1.21099054813385,0.73341304063797,1.0264900922775269,0.11922159017151457
1675192654.4366128,0.9177161630459989,0.7919930046831406,0.8468218846276329,0.01651758006908418,1.21099054813385,0.73341304063797,1.0264900922775269,0.11922159017151457
1675192654.4577312,0.9172319510327577,0.7965544497433965,0.8475898150098979,0.016416475192905094,1.2074123620986938,0.7349462509155273,1.0322881937026978,0.1132193488609119
1675192654.4780812,0.9168428310230213,0.8001993967095125,0.8482974704557678,0.016325038706457906,1.2074123620986938,0.7349462509155273,1.0322881937026978,0.1132193488609119
1675192654.4971821,0.9183651233194582,0.7996649473743837,0.8493399977015652,0.01642165201497683,1.2008681297302246,0.7373508810997009,1.0392680168151855,0.10546589742395751
1675192654.5158339,0.9195811590477656,0.7992332924655302,0.8503007256002068,0.01648786930934217,1.2008681297302246,0.7373508810997009,1.0392680168151855,0.10546589742395751
1675192654.535173,0.9205521896125066,0.7991320662057082,0.8515132151796011,0.016529805695700936,1.2008681297302246,0.7373508810997009,1.0392680168151855,0.10546589742395751
1675192654.553268,0.9194918861783176,0.8028218019731579,0.8526692549775553,0.01637207312465846,1.1921831369400024,0.7397487759590149,1.0465749502182007,0.09956891483956576
1675192654.5724833,0.9186419113354677,0.8057694023832629,0.8537345974673413,0.01623551191358946,1.1921831369400024,0.7397487759590149,1.0465749502182007,0.09956891483956576
1675192654.591586,0.9155996449804756,0.8120865034871112,0.8549577862307772,0.01588404988009211,1.1827397346496582,0.7412301898002625,1.0513948202133179,0.09124456341223097
1675192654.611075,0.9131641987519135,0.8171358634048644,0.8560850140206697,0.015593333586031113,1.1827397346496582,0.7412301898002625,1.0513948202133179,0.09124456341223097
1675192654.6319268,0.9142760950499894,0.8142756854391682,0.85769501270989,0.015652006518871095,1.1715270280838013,0.7423583269119263,1.0572878122329712,0.08558800047855386
1675192654.6511457,0.9145968933527737,0.8122385495899942,0.8593862181262457,0.015632781622240084,1.1715270280838013,0.7423583269119263,1.0572878122329712,0.08558800047855386
1675192654.672649,0.9148518467817959,0.8106047553635315,0.8609447766863308,0.015607151260788222,1.1715270280838013,0.7423583269119263,1.0572878122329712,0.08558800047855386
1675192654.6913297,0.9103306648921001,0.8170273877450019,0.8625229625564187,0.01511245577266204,1.1587238311767578,0.7439586520195007,1.062944769859314,0.08010554940626613
1675192654.7125273,0.9067122037969441,0.82216118550907,0.8639773603222423,0.014708035922816231,1.1587238311767578,0.7439586520195007,1.062944769859314,0.08010554940626613
1675192654.7329557,0.9027016379750452,0.8265141678005571,0.8654043499567794,0.01426641150610441,1.1443085670471191,0.7450646758079529,1.0689555406570435,0.0738684559012226
1675192654.7535586,0.9001368716373226,0.8268809041326098,0.8672115674806554,0.013968236001968509,1.1443085670471191,0.7450646758079529,1.0689555406570435,0.0738684559012226
1675192654.772688,0.8980836198017681,0.827170064298145,0.8688770438289996,0.013721271867741351,1.124568223953247,0.7460323572158813,1.0765814781188965,0.05915106056084207
1675192654.7937074,0.8965291223982319,0.8244001678286579,0.8710109613000017,0.01352409971045588,1.124568223953247,0.7460323572158813,1.0765814781188965,0.05915106056084207
